Dish_Name,Calories_100g,Protein_100g,Fat_100g,Carbs_100g,Portion_Unit,Calories_Portion
chicken lasagne,187.4915313720703,10.452420234680176,10.36139965057373,13.902274131774902,plate,964.6439208984375
fettuccine with spinach sauce,129.20672607421875,3.103574752807617,7.828339576721191,12.18928050994873,plate,458.8518371582031
naan,286.44964599609375,8.05210018157959,4.987837314605713,51.75419998168945,naan,152.2957305908203
bhatura,793.2029418945312,1.6303993463516235,82.5638427734375,10.733963012695312,bhatura,1154.6060791015625
idli,137.53526306152344,4.637406349182129,0.33316707611083984,28.17755699157715,idli,34.46977615356445
masala dosa,164.5846710205078,3.2877273559570312,7.840357303619385,19.566587448120117,dosa,345.0764465332031
semolina dosa (suji/rava dosa),227.05209350585938,7.300220012664795,7.116666316986084,32.84082794189453,dosa,166.69029235839844
onion tomato uttapam,462.0191955566406,1.9062505960464478,45.30297088623047,11.315990447998047,uttapam,644.3204345703125
paneer kaathi roll,285.942138671875,6.916443347930908,19.554462432861328,20.103469848632812,kaathi roll,424.15228271484375
makki ki roti,263.9683532714844,3.4924707412719727,16.849411010742188,24.191999435424805,roti,224.37310791015625
washed moong dal (dhuli moong ki dal),50.00269317626953,2.677743673324585,1.680992841720581,5.906931400299072,bowl,138.50746154785156
washed urad dal (dhuli urad ki dal),61.32363510131836,2.5109291076660156,2.9800169467926025,5.8411149978637695,bowl,181.51795959472656
split bengal gram with bottle gourd (channa dal with ghiya/lauki),73.25393676757812,2.789580821990967,3.602670431137085,7.101042747497559,bowl,204.2539520263672
dry washed urad,124.71212768554688,6.8496856689453125,3.4971020221710205,15.66222095489502,bowl,178.5877685546875
mixed dal,61.92817687988281,2.5055992603302,3.103567600250244,5.792935848236084,bowl,184.44068908691406
whole moong (moong ki dal),53.698612213134766,2.249401330947876,2.5644569396972656,5.218648910522461,bowl,183.8264617919922
whole masoor (masoor ki dal),54.05467224121094,2.2791972160339355,2.518010377883911,5.37463903427124,bowl,185.0453643798828
whole moth (moth ki dal),54.99718475341797,2.005776882171631,2.6187903881073,5.740952014923096,bowl,188.2718505859375
whole urad (urad ki dal),53.795135498046875,2.213059902191162,2.62381911277771,5.047299385070801,bowl,182.54302978515625
moti mahal dal (urad rajmah mix dal),103.12796020507812,3.929511785507202,5.656059265136719,8.737751007080078,bowl,295.71942138671875
black channa curry/bengal gram curry (kale chane ki curry),140.67662048339844,5.666234970092773,6.610110759735107,14.114450454711914,bowl,168.69940185546875
chickpeas curry (safed channa curry),163.43203735351562,6.099023818969727,6.842765808105469,19.97835922241211,bowl,195.98770141601562
lobia curry,148.98741149902344,6.064000129699707,5.619450569152832,17.881961822509766,bowl,178.66571044921875
soyabean curry,163.27719116210938,10.426908493041992,10.189997673034668,6.759547233581543,bowl,195.802001953125
kidney bean curry (rajmah curry),143.7259063720703,5.951425075531006,5.7745537757873535,16.378459930419922,bowl,172.35610961914062
sambar,96.91847229003906,3.3500633239746094,4.382696628570557,10.567740440368652,bowl,249.32276916503906
besan kadhi with pakodies,403.3492126464844,1.6443043947219849,42.5884895324707,3.5637803077697754,bowl,2366.792724609375
khatta channa,202.56605529785156,6.295548915863037,10.559773445129395,21.140640258789062,bowl,318.1502380371094
sprouted moong dal chat,32.47376251220703,1.3497076034545898,0.32163742184638977,6.005068302154541,plate,83.29520416259766
potato cauliflower (aloo gobhi),106.17748260498047,1.8975750207901,8.125692367553711,5.990505218505859,bowl,186.60691833496094
potato capsicum (shimla mirch aloo),125.52963256835938,1.409610629081726,9.332274436950684,8.716957092285156,bowl,189.23593139648438
cabbage and peas (pattagobhi aur matar),63.88294219970703,3.2393312454223633,2.6449499130249023,6.235406398773193,bowl,106.20539093017578
carrot and fenugreek leaves (gajar methi),61.91693878173828,2.095118284225464,3.806856632232666,4.170989990234375,bowl,118.10655975341797
potato fenugreek (aloo methi),135.14739990234375,2.24550199508667,10.040675163269043,8.468133926391602,bowl,276.03857421875
brinjal bhartha (baingan ka bhartha),65.11573028564453,1.3797035217285156,4.4805498123168945,4.397458076477051,bowl,212.16659545898438
